CONSTRAINT_CATALOG,CONSTRAINT_SCHEMA,CONSTRAINT_NAME,TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,CONSTRAINT_TYPE,IS_DEFERRABLE,INITIALLY_DEFERRED
FSP_V3_Production,mx,FK_ConsumableFees_MaintenanceLocations,FSP_V3_Production,mx,ConsumableFees,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_PackageInstanceGuid,FSP_V3_Production,dbo,SalesTransactionLineItems,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_ConsumableFees_tblInvoicingLineItems,FSP_V3_Production,mx,ConsumableFees,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageInstanceItems_PackageInstanceId,FSP_V3_Production,inv,PackageInstanceItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageInstanceItems_PackageItemId,FSP_V3_Production,inv,PackageInstanceItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalToLocationJoiner_TerminalId,FSP_V3_Production,inv,TerminalToLocationJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageInstances_PackageId,FSP_V3_Production,inv,PackageInstances,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalToLocationJoiner_LocationId,FSP_V3_Production,inv,TerminalToLocationJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageItems_Packages,FSP_V3_Production,inv,PackageItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageItems_LineItemId,FSP_V3_Production,inv,PackageItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_Packages_LineItemId,FSP_V3_Production,inv,Packages,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_ConsumableFees_tblInvoicingLineItems,FSP_V3_Production,inv,ConsumableFees,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_MaintenanceLocationTimeTypeRates_tblInvoicingLineItems,FSP_V3_Production,inv,MaintenanceLocationTimeTypeRates,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblLocationToCompanyJoiner_tblLocations,FSP_V3_Production,dbo,tblLocationToCompanyJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblLocationToPersonJoiner_tblLocations,FSP_V3_Production,dbo,tblLocationToPersonJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblEnginePropellerJoiner_tblEngine,FSP_V3_Production,dbo,tblEnginePropellerJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblPersonToContactNumberJoiner_tblContactNumbers,FSP_V3_Production,dbo,tblPersonToContactNumberJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_PackageItemGuid,FSP_V3_Production,dbo,SalesTransactionLineItems,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_FlightAlerts_tblReservation,FSP_V3_Production,dbo,FlightAlerts,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ReservationBatches_ReservationBatchReservations,FSP_V3_Production,dbo,ReservationBatchReservations,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalTransactions_SalesTransactionId,FSP_V3_Production,inv,TerminalTransactions,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalTransactions_TerminalId,FSP_V3_Production,inv,TerminalTransactions,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_Terminals_MerchantAccounts,FSP_V3_Production,inv,Terminals,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionPayments_MerchantAccounts,FSP_V3_Production,dbo,SalesTransactionPayments,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkOrders_MaintenanceLocations,FSP_V3_Production,mx,WorkOrders,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkOrders_WorkOrderStatus,FSP_V3_Production,mx,WorkOrders,FOREIGN KEY,NO,NO
FSP_V3_Production,HangFire,FK_HangFire_JobParameter_Job,FSP_V3_Production,HangFire,JobParameter,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkItemAssignees_WorkItems,FSP_V3_Production,mx,WorkItemAssignees,FOREIGN KEY,NO,NO
FSP_V3_Production,HangFire,FK_HangFire_State_Job,FSP_V3_Production,HangFire,State,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_mx.LogbookFormats_mx.LogbookTypes,FSP_V3_Production,mx,LogbookFormats,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkItems_WorkItemTypes,FSP_V3_Production,mx,WorkItems,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionTrainingSessions_SalesTransactions,FSP_V3_Production,dbo,SalesTransactionTrainingSessions,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkItemTypeOverrides_WorkItemTypes,FSP_V3_Production,mx,WorkItemTypeOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartRequests_WorkOrders,FSP_V3_Production,mx,PartRequests,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_StudentFinancingLoans_StudentFinancingAccountId,FSP_V3_Production,inv,StudentFinancingLoans,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkLogs_WorkItems,FSP_V3_Production,mx,WorkLogs,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartRequests_WorkItems,FSP_V3_Production,mx,PartRequests,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ReservationTypeToPreflightAuthorizingUsersJoiner_tblReservationTypes,FSP_V3_Production,dbo,ReservationTypeToPreflightAuthorizingUsersJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_WorkOrderStatusOverrides_WorkOrderStatus,FSP_V3_Production,mx,WorkOrderStatusOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartRequests_Parts,FSP_V3_Production,mx,PartRequests,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_StudentFinancingLoans_PaymentTokenId,FSP_V3_Production,inv,StudentFinancingLoans,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionPayments_StudentFinancingLoanId,FSP_V3_Production,dbo,SalesTransactionPayments,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_WebhookExecutions_WebhookConfigurations,FSP_V3_Production,dbo,WebhookExecutions,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblFlightRecord_tblFlightRecordResources,FSP_V3_Production,dbo,tblFlightRecordResources,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LogTenUserOperatorJoiner_GlobalUserSettings,FSP_V3_Production,dbo,LogTenUserOperatorJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblFlightRecord_tblMeterRecords,FSP_V3_Production,dbo,tblMeterRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionPayments_PaymentTokenId,FSP_V3_Production,dbo,SalesTransactionPayments,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblFlightRecord_tblStandardFlightRecord,FSP_V3_Production,dbo,tblStandardFlightRecord,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToAircraftJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToAircraftJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblReservationPilots_tblReservation,FSP_V3_Production,dbo,tblReservationPilots,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_Aircraft,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToAircraftJoiner_TblAircraft,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToAircraftJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblReservationFlightDetails_tblReservation,FSP_V3_Production,dbo,tblReservationFlightDetails,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_MerchantAccountToLocationJoiner_MerchantAccountId,FSP_V3_Production,inv,MerchantAccountToLocationJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_InventoryLocations_Attachments,FSP_V3_Production,mx,InventoryLocations,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToFlightInstructorJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToFlightInstructorJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblReservationResources_tblReservation,FSP_V3_Production,dbo,tblReservationResources,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_MerchantAccountToMaintenanceLocationJoiner_MerchantAccountId,FSP_V3_Production,inv,MerchantAccountToMaintenanceLocationJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblReservationNotifications_tblReservation,FSP_V3_Production,dbo,tblReservationNotifications,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToFlightInstructorJoiner_tblFlightInstructor,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToFlightInstructorJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToSchedulingGroupsJoiner_ScheduleMatchUserPreferences,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToSchedulingGroupsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartRequestsToStockRecordsJoiner_PartRequests,FSP_V3_Production,mx,PartRequestsToStockRecordsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ScheduleMatchUserPreferencesToSchedulingGroupsJoiner_SchedulingGroups,FSP_V3_Production,dbo,ScheduleMatchUserPreferencesToSchedulingGroupsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblDispatchPilots_tblDispatchRecords,FSP_V3_Production,dbo,tblDispatchPilots,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartRequestsToStockRecordsJoiner_StockRecords,FSP_V3_Production,mx,PartRequestsToStockRecordsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsRemoved_PartsRemoved,FSP_V3_Production,mx,PartsRemoved,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblDispatchResources_tblDispatchRecords,FSP_V3_Production,dbo,tblDispatchResources,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsRemoved_WorkOrders,FSP_V3_Production,mx,PartsRemoved,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsRemoved_WorkItems,FSP_V3_Production,mx,PartsRemoved,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsRemoved_Parts,FSP_V3_Production,mx,PartsRemoved,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_PartsRemoved,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_WorkItemsToMaintenanceReminderTemplatesJoiner_WorkItems,FSP_V3_Production,dbo,WorkItemsToMaintenanceReminderTemplatesJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecordStatusOverrides_StockRecordStatus,FSP_V3_Production,mx,StockRecordStatusOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LabelToRoleJoiner_Labels,FSP_V3_Production,dbo,LabelToRoleJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblPostItemRoleIds_tblPostItems,FSP_V3_Production,dbo,tblPostItemRoleIds,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LabelToRoleJoiner_TblUsers,FSP_V3_Production,dbo,LabelToRoleJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LabelToUserJoiner_Labels,FSP_V3_Production,dbo,LabelToUserJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LabelToUserJoiner_TblUsers,FSP_V3_Production,dbo,LabelToUserJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_Labels_LabelCategories,FSP_V3_Production,dbo,Labels,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_ReservationTrainingSessions_tblReservation,FSP_V3_Production,dbo,ReservationTrainingSessions,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_StorefrontItems_StorefrontLinks,FSP_V3_Production,inv,StorefrontItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalTransactionsDeleted_SalesTransactionId,FSP_V3_Production,inv,TerminalTransactionsDeleted,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_TerminalTransactionsDeleted_TerminalId,FSP_V3_Production,inv,TerminalTransactionsDeleted,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartCategoryOverrides_PartCategories,FSP_V3_Production,mx,PartCategoryOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsToInventoryLocationsJoiner_InventoryLocations,FSP_V3_Production,mx,PartsToInventoryLocationsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_LocationToIcaoLocationsJoiner_tblLocations,FSP_V3_Production,dbo,LocationToIcaoLocationsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_PartsToInventoryLocationsJoiner_Parts,FSP_V3_Production,mx,PartsToInventoryLocationsJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecordConditionOverrides_StockRecordConditions,FSP_V3_Production,mx,StockRecordConditionOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_StockRecordConditions,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_Parts,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_OperatorAgreements_tblUser,FSP_V3_Production,dbo,OperatorAgreements,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_StockRecordStatus,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_InventoryLocations,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageItems_Tax1Id,FSP_V3_Production,inv,PackageItems,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageItems_CustomInstructionTypeId,FSP_V3_Production,inv,PackageItems,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_TimeTypeOverrides_TimeTypes,FSP_V3_Production,mx,TimeTypeOverrides,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecords_Attachments,FSP_V3_Production,mx,StockRecords,FOREIGN KEY,NO,NO
FSP_V3_Production,inv,FK_PackageItems_Tax2Id,FSP_V3_Production,inv,PackageItems,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionLineItems_SalesTransactions,FSP_V3_Production,dbo,SalesTransactionLineItems,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblAddressParts_tblAddress,FSP_V3_Production,dbo,tblAddressParts,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_SalesTransactionPayments_SalesTransactions,FSP_V3_Production,dbo,SalesTransactionPayments,FOREIGN KEY,NO,NO
FSP_V3_Production,dbo,FK_tblPersonAddressJoiner_tblAddress,FSP_V3_Production,dbo,tblPersonAddressJoiner,FOREIGN KEY,NO,NO
FSP_V3_Production,mx,FK_StockRecordsToBinLocationsJoiner_BinLocations,FSP_V3_Production,mx,StockRecordsToInventoryBinsJoiner,FOREIGN KEY,NO,NO
